term	gene
HALLMARK.ADIPOGENESIS	"NABP1"
HALLMARK.ADIPOGENESIS	NDUFA5
HALLMARK.ADIPOGENESIS	NDUFAB1
HALLMARK.ADIPOGENESIS	NDUFB7
HALLMARK.ADIPOGENESIS	NDUFS3
HALLMARK.ADIPOGENESIS	NDUFS3
HALLMARK.ADIPOGENESIS	NKIRAS1
HALLMARK.ADIPOGENESIS	NMT1
HALLMARK.ADIPOGENESIS	OMD
HALLMARK.ADIPOGENESIS	ORM1
HALLMARK.ADIPOGENESIS	PDCD4
HALLMARK.ADIPOGENESIS	PEMT
HALLMARK.ADIPOGENESIS	PEX14
HALLMARK.ADIPOGENESIS	PFKFB3
HALLMARK.ADIPOGENESIS	PFKL
HALLMARK.ADIPOGENESIS	PGM1
HALLMARK.ADIPOGENESIS	PHLDB1
HALLMARK.ADIPOGENESIS	PHYH
HALLMARK.ADIPOGENESIS	PIM3
HALLMARK.ADIPOGENESIS	PLIN2
HALLMARK.ADIPOGENESIS	POR
HALLMARK.ADIPOGENESIS	PPARG
HALLMARK.ADIPOGENESIS	PPM1B
HALLMARK.ADIPOGENESIS	PPP1R15B
HALLMARK.ADIPOGENESIS	PRDX3
HALLMARK.ADIPOGENESIS	PREB
HALLMARK.ADIPOGENESIS	PTCD3
HALLMARK.ADIPOGENESIS	PTGER3
HALLMARK.ADIPOGENESIS	QDPR
HALLMARK.ADIPOGENESIS	RAB34
HALLMARK.ADIPOGENESIS	REEP5
HALLMARK.ADIPOGENESIS	REEP6
HALLMARK.ADIPOGENESIS	RETN
HALLMARK.ADIPOGENESIS	RETSAT
HALLMARK.ADIPOGENESIS	RIOK3
HALLMARK.ADIPOGENESIS	RMDN3
HALLMARK.ADIPOGENESIS	RNF11
HALLMARK.ADIPOGENESIS	RREB1
HALLMARK.ADIPOGENESIS	RTN3
HALLMARK.ADIPOGENESIS	SAMM50
HALLMARK.ADIPOGENESIS	SCARB1
HALLMARK.ADIPOGENESIS	SCP2
HALLMARK.ADIPOGENESIS	SDHB
HALLMARK.ADIPOGENESIS	SDHC
HALLMARK.ADIPOGENESIS	SLC19A1
HALLMARK.ADIPOGENESIS	SLC1A5
HALLMARK.ADIPOGENESIS	SLC25A1
HALLMARK.ADIPOGENESIS	SLC25A10
HALLMARK.ADIPOGENESIS	SLC27A1
HALLMARK.ADIPOGENESIS	SLC5A6
HALLMARK.ADIPOGENESIS	SLC66A3
HALLMARK.ADIPOGENESIS	SNCG
HALLMARK.ADIPOGENESIS	SOD1
HALLMARK.ADIPOGENESIS	SORBS1
HALLMARK.ADIPOGENESIS	SOWAHC
HALLMARK.ADIPOGENESIS	SPARCL1
HALLMARK.ADIPOGENESIS	SQOR
HALLMARK.ADIPOGENESIS	SSPN
HALLMARK.ADIPOGENESIS	STAT5A
HALLMARK.ADIPOGENESIS	STOM
HALLMARK.ADIPOGENESIS	SUCLG1
HALLMARK.ADIPOGENESIS	SULT1A1
HALLMARK.ADIPOGENESIS	TALDO1
HALLMARK.ADIPOGENESIS	TANK
HALLMARK.ADIPOGENESIS	TKT
HALLMARK.ADIPOGENESIS	TOB1
HALLMARK.ADIPOGENESIS	TST
HALLMARK.ADIPOGENESIS	UBC
HALLMARK.ADIPOGENESIS	UBQLN1
HALLMARK.ADIPOGENESIS	UCK1
HALLMARK.ADIPOGENESIS	UCP2
HALLMARK.ADIPOGENESIS	UQCR10
HALLMARK.ADIPOGENESIS	UQCR11
HALLMARK.ADIPOGENESIS	UQCRC1
HALLMARK.ADIPOGENESIS	UQCRQ
HALLMARK.ADIPOGENESIS	VEGFB
HALLMARK.ADIPOGENESIS	YWHAG
HALLMARK.ALLOGRAFT.REJECTION	AARS1
HALLMARK.ALLOGRAFT.REJECTION	ABCE1
HALLMARK.ALLOGRAFT.REJECTION	ABI1
HALLMARK.ALLOGRAFT.REJECTION	ACHE
HALLMARK.ALLOGRAFT.REJECTION	ACVR2A
HALLMARK.ALLOGRAFT.REJECTION	AKT1
HALLMARK.ALLOGRAFT.REJECTION	APBB1
HALLMARK.ALLOGRAFT.REJECTION	B2M
HALLMARK.ALLOGRAFT.REJECTION	B2M
HALLMARK.ALLOGRAFT.REJECTION	BCAT1
HALLMARK.ALLOGRAFT.REJECTION	BCL10
HALLMARK.ALLOGRAFT.REJECTION	BCL3
HALLMARK.ALLOGRAFT.REJECTION	BRCA1
HALLMARK.ALLOGRAFT.REJECTION	C2
HALLMARK.ALLOGRAFT.REJECTION	C2
HALLMARK.ALLOGRAFT.REJECTION	C2
HALLMARK.ALLOGRAFT.REJECTION	C2
HALLMARK.ALLOGRAFT.REJECTION	C2
HALLMARK.ALLOGRAFT.REJECTION	C2
HALLMARK.ALLOGRAFT.REJECTION	C2
HALLMARK.ALLOGRAFT.REJECTION	CAPG
HALLMARK.ALLOGRAFT.REJECTION	CARTPT
HALLMARK.ALLOGRAFT.REJECTION	CCL11
HALLMARK.ALLOGRAFT.REJECTION	CCL13
HALLMARK.ALLOGRAFT.REJECTION	CCL19
HALLMARK.ALLOGRAFT.REJECTION	CCL2
HALLMARK.ALLOGRAFT.REJECTION	CCL22
HALLMARK.ALLOGRAFT.REJECTION	CCL4
HALLMARK.ALLOGRAFT.REJECTION	CCL4
HALLMARK.ALLOGRAFT.REJECTION	CCL4
HALLMARK.ALLOGRAFT.REJECTION	CCL5
HALLMARK.ALLOGRAFT.REJECTION	CCL5
HALLMARK.ALLOGRAFT.REJECTION	CCL7
HALLMARK.ALLOGRAFT.REJECTION	CCND2
HALLMARK.ALLOGRAFT.REJECTION	CCND3
HALLMARK.ALLOGRAFT.REJECTION	CCR1
HALLMARK.ALLOGRAFT.REJECTION	CCR2
HALLMARK.ALLOGRAFT.REJECTION	CCR5
HALLMARK.ALLOGRAFT.REJECTION	CD1D
HALLMARK.ALLOGRAFT.REJECTION	CD2
HALLMARK.ALLOGRAFT.REJECTION	CD247
HALLMARK.ALLOGRAFT.REJECTION	CD28
HALLMARK.ALLOGRAFT.REJECTION	CD3D
HALLMARK.ALLOGRAFT.REJECTION	CD3E
HALLMARK.ALLOGRAFT.REJECTION	CD3G
HALLMARK.ALLOGRAFT.REJECTION	CD4
HALLMARK.ALLOGRAFT.REJECTION	CD40
HALLMARK.ALLOGRAFT.REJECTION	CD40LG
HALLMARK.ALLOGRAFT.REJECTION	CD47
HALLMARK.ALLOGRAFT.REJECTION	CD7
HALLMARK.ALLOGRAFT.REJECTION	CD74
HALLMARK.ALLOGRAFT.REJECTION	CD79A
HALLMARK.ALLOGRAFT.REJECTION	CD80
HALLMARK.ALLOGRAFT.REJECTION	CD86
HALLMARK.ALLOGRAFT.REJECTION	CD8A
HALLMARK.ALLOGRAFT.REJECTION	CD8B
HALLMARK.ALLOGRAFT.REJECTION	CD96
HALLMARK.ALLOGRAFT.REJECTION	CDKN2A
HALLMARK.ALLOGRAFT.REJECTION	CFP
HALLMARK.ALLOGRAFT.REJECTION	CRTAM
HALLMARK.ALLOGRAFT.REJECTION	CSF1
HALLMARK.ALLOGRAFT.REJECTION	CSK
HALLMARK.ALLOGRAFT.REJECTION	CTSS
HALLMARK.ALLOGRAFT.REJECTION	CXCL13
HALLMARK.ALLOGRAFT.REJECTION	CXCL9
